




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
negative regulation of beta-galactosidase activity (GO:1903770)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney vasculature morphogenesis (GO:0061439)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
gene silencing by miRNA (GO:0035195)	47	0	.00	-	 < 0.01	1.00E00	1.00E00
renal system vasculature morphogenesis (GO:0061438)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
posttranscriptional gene silencing by RNA (GO:0035194)	57	0	.01	-	 < 0.01	1.00E00	1.00E00
renal system vasculature development (GO:0061437)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of skin barrier (GO:0061436)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion export across plasma membrane (GO:1903766)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of potassium ion export across plasma membrane (GO:1903765)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion export across plasma membrane (GO:1903764)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to caloric restriction (GO:0061433)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903762)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bone trabecula morphogenesis (GO:0061430)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hatching (GO:0035188)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
signal transduction involved in regulation of aerobic respiration (GO:1903759)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of SUMO transferase activity (GO:1903755)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903751)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903750)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of RIG-I signaling pathway (GO:0039536)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of RIG-I signaling pathway (GO:0039535)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of MDA-5 signaling pathway (GO:0039534)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
MDA-5 signaling pathway (GO:0039530)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
social behavior (GO:0035176)	52	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	58	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization to mitochondrion (GO:1903748)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to mitochondrion (GO:1903747)	73	0	.01	-	 < 0.01	1.00E00	1.00E00
sexual reproduction (GO:0019953)	829	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of anterograde synaptic vesicle transport (GO:1903743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde synaptic vesicle transport (GO:1903742)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RIG-I signaling pathway (GO:0039529)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host apoptotic process (GO:0039526)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host autophagy (GO:0039521)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
induction by virus of host autophagy (GO:0039520)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic hemopoiesis (GO:0035166)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic hemopoiesis (GO:0035162)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
modification-dependent protein catabolic process (GO:0019941)	534	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to acidic pH (GO:0061402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to calcium ion (GO:0061400)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host autophagy (GO:0039519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host catalytic activity (GO:0039516)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host JAK-STAT cascade (GO:0039514)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host catalytic activity (GO:0039513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane organization (GO:1903729)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	171	0	.02	-	 < 0.01	1.00E00	1.00E00
cGMP-mediated signaling (GO:0019934)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid metabolic process (GO:1903727)	54	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP-mediated signaling (GO:0019933)	147	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid metabolic process (GO:1903726)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tube size (GO:0035150)	139	0	.01	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	338	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid metabolic process (GO:1903725)	93	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of centriole elongation (GO:1903724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole elongation (GO:1903723)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of centriole elongation (GO:1903722)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of I-kappaB phosphorylation (GO:1903721)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of I-kappaB phosphorylation (GO:1903720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host molecular function (GO:0039507)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host molecular function (GO:0039506)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host innate immune response (GO:0039503)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host type I interferon-mediated signaling pathway (GO:0039502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tube formation (GO:0035148)	150	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of I-kappaB phosphorylation (GO:1903719)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to ammonia (GO:1903718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to ammonia (GO:1903717)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of aerobic respiration (GO:1903715)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine transmembrane transport (GO:1903712)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hindlimb morphogenesis (GO:0035137)	36	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
forelimb morphogenesis (GO:0035136)	41	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
uterine gland development (GO:1903709)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid storage (GO:0019915)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemopoiesis (GO:1903708)	187	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemopoiesis (GO:1903707)	143	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hemopoiesis (GO:1903706)	455	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of production of siRNA involved in RNA interference (GO:1903704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
substantia propria of cornea development (GO:1903701)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic forelimb morphogenesis (GO:0035128)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic limb morphogenesis (GO:0035127)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic spine development (GO:0060999)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic spine development (GO:0060998)	76	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine morphogenesis (GO:0060997)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
dendritic spine development (GO:0060996)	29	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in kidney development (GO:0060995)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter involved in kidney development (GO:0060994)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney morphogenesis (GO:0060993)	84	0	.01	-	 < 0.01	1.00E00	1.00E00
response to fungicide (GO:0060992)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic hindlimb morphogenesis (GO:0035116)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic forelimb morphogenesis (GO:0035115)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic appendage morphogenesis (GO:0035113)	127	0	.01	-	 < 0.01	1.00E00	1.00E00
genitalia morphogenesis (GO:0035112)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly involved in organelle fusion (GO:0060989)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly (GO:0060988)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
endocrine hormone secretion (GO:0060986)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
coronary artery morphogenesis (GO:0060982)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
cell migration involved in coronary angiogenesis (GO:0060981)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell migration involved in coronary vasculogenesis (GO:0060980)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
limb morphogenesis (GO:0035108)	150	0	.01	-	 < 0.01	1.00E00	1.00E00
appendage morphogenesis (GO:0035107)	150	0	.01	-	 < 0.01	1.00E00	1.00E00
operant conditioning (GO:0035106)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vasculogenesis involved in coronary vascular morphogenesis (GO:0060979)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
coronary vasculature morphogenesis (GO:0060977)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
coronary vasculature development (GO:0060976)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
cardioblast migration to the midline involved in heart field formation (GO:0060975)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell migration involved in heart formation (GO:0060974)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cell migration involved in heart development (GO:0060973)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
left/right pattern formation (GO:0060972)	22	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube left/right pattern formation (GO:0060971)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
decidualization (GO:0046697)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm competition (GO:0046692)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to tellurium ion (GO:0046690)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing (GO:0060969)	36	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing (GO:0060968)	127	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing by RNA (GO:0060967)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing by RNA (GO:0060966)	89	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing by miRNA (GO:0060965)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing by miRNA (GO:0060964)	86	0	.01	-	 < 0.01	1.00E00	1.00E00
response to mercury ion (GO:0046689)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
response to copper ion (GO:0046688)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
response to chromate (GO:0046687)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to cadmium ion (GO:0046686)	64	0	.01	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
response to pyrethroid (GO:0046684)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to organophosphorus (GO:0046683)	141	0	.01	-	 < 0.01	1.00E00	1.00E00
response to DDT (GO:0046680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cell fate commitment (GO:0060957)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cell differentiation (GO:0060956)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
response to antibiotic (GO:0046677)	316	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin secretion (GO:0046676)	37	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of retinal cell programmed cell death (GO:0046671)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac vascular smooth muscle cell development (GO:0060948)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac vascular smooth muscle cell differentiation (GO:0060947)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac neuron differentiation (GO:0060945)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
epithelial to mesenchymal transition involved in cardiac fibroblast development (GO:0060940)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of retinal cell programmed cell death (GO:0046668)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal cell programmed cell death (GO:0046666)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
male sex differentiation (GO:0046661)	158	0	.02	-	 < 0.01	1.00E00	1.00E00
female sex differentiation (GO:0046660)	107	0	.01	-	 < 0.01	1.00E00	1.00E00
response to luteinizing hormone (GO:0034699)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to gonadotropin (GO:0034698)	29	0	.00	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin F (GO:0034696)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell development (GO:0060939)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin E (GO:0034695)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell differentiation (GO:0060938)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin (GO:0034694)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell development (GO:0060936)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell differentiation (GO:0060935)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
His-Purkinje system cell differentiation (GO:0060932)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sinoatrial node cell development (GO:0060931)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid catabolic process (GO:0046657)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid metabolic process (GO:0046655)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate biosynthetic process (GO:0046654)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
lymphocyte proliferation (GO:0046651)	82	0	.01	-	 < 0.01	1.00E00	1.00E00
vocal learning (GO:0042297)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell fate commitment (GO:0060929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell development (GO:0060928)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell fate commitment (GO:0060927)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell development (GO:0060926)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell fate commitment (GO:0060923)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell differentiation (GO:0060922)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sinoatrial node cell differentiation (GO:0060921)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell differentiation (GO:0060920)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of regulation of vascular smooth muscle cell membrane depolarization (GO:1904199)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lymphocyte activation (GO:0046649)	379	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of granulosa cell proliferation (GO:1904197)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of granulosa cell proliferation (GO:1904195)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of gamma-delta T cell activation (GO:0046645)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholangiocyte apoptotic process (GO:1904193)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gamma-delta T cell activation (GO:0046643)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cholangiocyte apoptotic process (GO:1904192)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell proliferation (GO:0046642)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-17 (GO:0097398)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell proliferation (GO:0046641)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell proliferation (GO:0046640)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
response to interleukin-17 (GO:0097396)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in lung development (GO:0060916)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell differentiation involved in lung development (GO:0060915)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
heart formation (GO:0060914)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
chemotaxis to arachidonic acid (GO:0034670)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate determination (GO:0060913)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate specification (GO:0060912)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiac cell fate commitment (GO:0060911)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell differentiation (GO:0046639)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transformation of host cell by virus (GO:1904188)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell differentiation (GO:0046638)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transformation of host cell by virus (GO:1904187)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell differentiation (GO:0046637)	62	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of alpha-beta T cell activation (GO:0046636)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of alpha-beta T cell activation (GO:0046635)	61	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of alpha-beta T cell activation (GO:0046634)	93	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell proliferation (GO:0046633)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of pyruvate dehydrogenase activity (GO:1904182)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell differentiation (GO:0046632)	51	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane depolarization (GO:1904181)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation (GO:0046631)	64	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane depolarization (GO:1904180)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	63	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular lipid biosynthetic process (GO:0097384)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
error-prone translesion synthesis (GO:0042276)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
error-free postreplication DNA repair (GO:0042275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	70	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	70	0	.01	-	 < 0.01	1.00E00	1.00E00
dorsal spinal cord interneuron anterior axon guidance (GO:0097380)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage cytokine production (GO:0060907)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
susceptibility to natural killer cell mediated cytotoxicity (GO:0042271)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
protection from natural killer cell mediated cytotoxicity (GO:0042270)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
ncRNA metabolic process (GO:0034660)	470	0	.04	-	 < 0.01	1.00E00	1.00E00
