




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
oxalate transmembrane transporter activity (GO:0019531)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
Roundabout binding (GO:0048495)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynapse (GO:0099186)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	55	0	.09	-	 < 0.01	1.00E00	1.00E00
structural constituent of presynapse (GO:0099181)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neutral amino acid transmembrane transporter activity (GO:0015175)	30	0	.05	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	74	0	.12	-	 < 0.01	1.00E00	1.00E00
Rho-dependent protein serine/threonine kinase activity (GO:0072518)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase activity (GO:0005391)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
RAGE receptor binding (GO:0050786)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
advanced glycation end-product receptor activity (GO:0050785)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-tubulin binding (GO:0048487)	39	0	.06	-	 < 0.01	1.00E00	1.00E00
dopamine receptor binding (GO:0050780)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-flap-structured DNA binding (GO:0070337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trivalent inorganic cation transmembrane transporter activity (GO:0072510)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate binding (GO:0070335)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
aromatase activity (GO:0070330)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium transmembrane transporter activity, phosphorylative mechanism (GO:0005388)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-dimethylethanolamine N-methyltransferase activity (GO:0080101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor binding (GO:0070326)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor binding (GO:0070325)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
thyroid hormone binding (GO:0070324)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharide transmembrane transporter activity (GO:0015157)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
disaccharide transmembrane transporter activity (GO:0015154)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate transmembrane transporter activity (GO:0015152)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transporter activity (GO:0005375)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transporter activity (GO:0015149)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transporter activity (GO:0015144)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
urate transmembrane transporter activity (GO:0015143)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribitol beta-1,4-xylosyltransferase activity (GO:0120053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
taurine:sodium symporter activity (GO:0005369)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
taurine transmembrane transporter activity (GO:0005368)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol:sodium symporter activity (GO:0005367)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol:proton symporter activity (GO:0005366)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myo-inositol transmembrane transporter activity (GO:0005365)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
low-affinity glucose:sodium symporter activity (GO:0005362)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-ketoglutarate transmembrane transporter activity (GO:0015139)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellularly ATP-gated ion channel activity (GO:0099142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid binding (GO:0070300)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
sialic acid transmembrane transporter activity (GO:0015136)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U6 snRNA (adenine-(43)-N(6))-methyltransferase activity (GO:0120048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin transmembrane transporter activity (GO:0015132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mevalonate transmembrane transporter activity (GO:0015130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity (GO:0052929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP:3'-cytidine-tRNA cytidylyltransferase activity (GO:0052928)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP:tRNA cytidylyltransferase activity (GO:0052927)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0052925)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transporter activity (GO:0005355)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase transmembrane transporter activity (GO:0005350)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
canalicular bile acid transmembrane transporter activity (GO:0015126)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen binding (GO:0099130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bile acid transmembrane transporter activity (GO:0015125)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase inhibitor activity (GO:0036487)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity (GO:0052917)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transmembrane transporter activity (GO:0005345)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
oxygen carrier activity (GO:0005344)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
organic acid:sodium symporter activity (GO:0005343)	30	0	.05	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	151	0	.24	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transmembrane transporter activity (GO:0015119)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain binding (GO:0099122)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphate ion transmembrane transporter activity (GO:0015114)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
nitrate transmembrane transporter activity (GO:0015112)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
iodide transmembrane transporter activity (GO:0015111)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxidase inhibitor activity (GO:0036479)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-dopa decarboxylase activator activity (GO:0036478)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity (GO:0052909)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
23S rRNA (adenine(1618)-N(6))-methyltransferase activity (GO:0052907)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol transfer activity (GO:0120020)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N(1))-methyltransferase activity (GO:0052906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(9)-N(1))-methyltransferase activity (GO:0052905)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052904)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
serotonin:sodium symporter activity (GO:0005335)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052903)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
norepinephrine:sodium symporter activity (GO:0005334)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity (GO:0052902)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine 3-monooxygenase activator activity (GO:0036470)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spermine:oxygen oxidoreductase (spermidine-forming) activity (GO:0052901)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:sodium symporter activity (GO:0005332)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dopamine:sodium symporter activity (GO:0005330)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	100	0	.16	-	 < 0.01	1.00E00	1.00E00
bicarbonate transmembrane transporter activity (GO:0015106)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
arsenite transmembrane transporter activity (GO:0015105)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide transfer activity (GO:0120017)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	144	0	.23	-	 < 0.01	1.00E00	1.00E00
sphingolipid transfer activity (GO:0120016)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
sterol transfer activity (GO:0120015)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipid transfer activity (GO:0120014)	25	0	.04	-	 < 0.01	1.00E00	1.00E00
vanadium ion transmembrane transporter activity (GO:0015100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid transfer activity (GO:0120013)	47	0	.07	-	 < 0.01	1.00E00	1.00E00
L-dopa decarboxylase activity (GO:0036468)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter:sodium symporter activity (GO:0005328)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	51	0	.08	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transporter activity (GO:0005324)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex binding (GO:0036461)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ion channel regulator activity (GO:0099106)	122	0	.19	-	 < 0.01	1.00E00	1.00E00
potassium channel activator activity (GO:0099104)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
channel activator activity (GO:0099103)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transmembrane transporter activity (GO:1901505)	41	0	.06	-	 < 0.01	1.00E00	1.00E00
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	117	0	.18	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor binding (GO:0036458)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid transporter activity (GO:0005319)	149	0	.23	-	 < 0.01	1.00E00	1.00E00
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
high-affinity inorganic phosphate:sodium symporter activity (GO:0005316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic phosphate transmembrane transporter activity (GO:0005315)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
high-affinity glutamate transmembrane transporter activity (GO:0005314)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor binding (GO:0048408)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor binding (GO:0048407)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
nerve growth factor binding (GO:0048406)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
CARD domain binding (GO:0050700)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
brain-derived neurotrophic factor binding (GO:0048403)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
SAM domain binding (GO:0032093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Pyrin domain binding (GO:0032090)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	53	0	.08	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	40	0	.06	-	 < 0.01	1.00E00	1.00E00
site-specific endodeoxyribonuclease activity, specific for altered base (GO:0016890)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
creatine:sodium symporter activity (GO:0005309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
creatine transmembrane transporter activity (GO:0005308)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
choline:sodium symporter activity (GO:0005307)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate synthase activity (GO:0036440)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-tyrosine transmembrane transporter activity (GO:0005302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NACHT domain binding (GO:0032089)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase activity (GO:0016887)	449	0	.71	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acid-amino acid ligase activity (GO:0016881)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	49	0	.08	-	 < 0.01	1.00E00	1.00E00
acid-thiol ligase activity (GO:0016878)	30	0	.05	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	40	0	.06	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	42	0	.07	-	 < 0.01	1.00E00	1.00E00
ligase activity (GO:0016874)	154	0	.24	-	 < 0.01	1.00E00	1.00E00
intramolecular lyase activity (GO:0016872)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H4-R3 specific) (GO:0044020)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial sequence-specific DNA-binding transcription factor activity (GO:0034246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity, phosphotransferases (GO:0016868)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	52	0	.08	-	 < 0.01	1.00E00	1.00E00
GPI anchor binding (GO:0034235)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
bile acid binding (GO:0032052)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin light chain binding (GO:0032051)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin heavy chain binding (GO:0032050)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cis-trans isomerase activity (GO:0016859)	51	0	.08	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA hydrolase activity (GO:0047994)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxylysine kinase activity (GO:0047992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
isomerase activity (GO:0016853)	173	0	.27	-	 < 0.01	1.00E00	1.00E00
template-free RNA nucleotidyltransferase (GO:0098680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arachidonate 8(S)-lipoxygenase activity (GO:0036403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome-activating ATPase activity (GO:0036402)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cytokine receptor activity (GO:0004896)	98	0	.15	-	 < 0.01	1.00E00	1.00E00
GABA-A receptor activity (GO:0004890)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K14 specific) (GO:0032041)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
carbon-sulfur lyase activity (GO:0016846)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
strictosidine synthase activity (GO:0016844)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amine-lyase activity (GO:0016843)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonia-lyase activity (GO:0016841)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	76	0	.12	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein kinase activity (GO:0034211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
glucocorticoid receptor activity (GO:0004883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin II head/neck binding (GO:0032034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hepoxilin-epoxide hydrolase activity (GO:0047977)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
hydro-lyase activity (GO:0016836)	57	0	.09	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity (GO:0016835)	77	0	.12	-	 < 0.01	1.00E00	1.00E00
oxo-acid-lyase activity (GO:0016833)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
carbon-carbon lyase activity (GO:0016830)	53	0	.08	-	 < 0.01	1.00E00	1.00E00
complement component C5a receptor activity (GO:0004878)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C3b receptor activity (GO:0004877)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin tail binding (GO:0032029)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid floppase activity (GO:0034202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C3a receptor activity (GO:0004876)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin head/neck binding (GO:0032028)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
complement receptor activity (GO:0004875)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
