




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
FGFR2 alternative splicing (R-HSA-6803529)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
TNFR1-mediated ceramide production (R-HSA-5626978)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Organic anion transport (R-HSA-561048)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Serotonin Neurotransmitter Release Cycle (R-HSA-181429)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Activation of the pre-replicative complex (R-HSA-68962)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 (R-HSA-5625886)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
P2Y receptors (R-HSA-417957)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
TNFR1-induced proapoptotic signaling (R-HSA-5357786)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
SHC1 events in EGFR signaling (R-HSA-180336)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
CREB phosphorylation through the activation of CaMKK (R-HSA-442717)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Synthesis of Prostaglandins (PG) and Thromboxanes (TX) (R-HSA-2162123)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
KSRP (KHSRP) binds and destabilizes mRNA (R-HSA-450604)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
CYP2E1 reactions (R-HSA-211999)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
GP1b-IX-V activation signalling (R-HSA-430116)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Sterols are 12-hydroxylated by CYP8B1 (R-HSA-211994)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Mismatch Repair (R-HSA-5358508)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Antagonism of Activin by Follistatin (R-HSA-2473224)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Ligand-receptor interactions (R-HSA-5632681)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Elastic fibre formation (R-HSA-1566948)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
DNA replication initiation (R-HSA-68952)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Glycogen metabolism (R-HSA-8982491)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Interleukin-23 signaling (R-HSA-9020933)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
EGFR interacts with phospholipase C-gamma (R-HSA-212718)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
APOBEC3G mediated resistance to HIV-1 infection (R-HSA-180689)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Apoptotic factor-mediated response (R-HSA-111471)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
MET activates PTK2 signaling (R-HSA-8874081)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of maresin-like SPMs (R-HSA-9027307)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
EPH-ephrin mediated repulsion of cells (R-HSA-3928665)	50	0	.26	-	 < 0.01	1.00E00	1.00E00
Ephrin signaling (R-HSA-3928664)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
EPHA-mediated growth cone collapse (R-HSA-3928663)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Diseases of carbohydrate metabolism (R-HSA-5663084)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
FMO oxidises nucleophiles (R-HSA-217271)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
EPHB-mediated forward signaling (R-HSA-3928662)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
Resolution of AP sites via the single-nucleotide replacement pathway (R-HSA-110381)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DPA-derived SPMs (R-HSA-9018683)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of maresins (R-HSA-9018682)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
PI3K/AKT activation (R-HSA-198203)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of protectins (R-HSA-9018681)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Xenobiotics (R-HSA-211981)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Intestinal saccharidase deficiencies (R-HSA-5659898)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMOylation of ubiquitinylation proteins (R-HSA-3232142)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
SMAC-mediated apoptotic response (R-HSA-111469)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Apoptotic cleavage of cellular proteins (R-HSA-111465)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
TRIF-mediated programmed cell death (R-HSA-2562578)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Caspase activation via extrinsic apoptotic signalling pathway (R-HSA-5357769)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
SMAC-mediated dissociation of IAP:caspase complexes  (R-HSA-111464)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
SMAC binds to IAPs  (R-HSA-111463)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Cytochrome c-mediated apoptotic response (R-HSA-111461)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Metabolism of cofactors (R-HSA-8978934)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Formation of annular gap junctions (R-HSA-196025)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of EPA-derived SPMs (R-HSA-9018679)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Eicosanoids (R-HSA-211979)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Resolution of AP sites via the multiple-nucleotide patch replacement pathway (R-HSA-110373)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of specialized proresolving mediators (SPMs) (R-HSA-9018678)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DHA-derived SPMs (R-HSA-9018677)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Ion homeostasis (R-HSA-5578775)	54	0	.28	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of D-series resolvins (R-HSA-9018676)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Endogenous sterols (R-HSA-211976)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Defective ABCA1 causes Tangier disease (R-HSA-5682113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Propionyl-CoA catabolism (R-HSA-71032)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
TRKA activation by NGF (R-HSA-187042)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Metabolism of nucleotides (R-HSA-15869)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
Activation of Nicotinic Acetylcholine Receptors (R-HSA-629602)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Activation of caspases through apoptosome-mediated cleavage (R-HSA-111459)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Tight junction interactions (R-HSA-420029)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Formation of apoptosome (R-HSA-111458)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Plus-strand DNA synthesis (R-HSA-164525)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Release of apoptotic factors from the mitochondria (R-HSA-111457)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
vRNP Assembly (R-HSA-192905)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through FRS2 and FRS3 (R-HSA-9028731)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members (R-HSA-111453)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate (R-HSA-880009)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Activation and oligomerization of BAK protein (R-HSA-111452)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Protein folding (R-HSA-391251)	100	0	.52	-	 < 0.01	1.00E00	1.00E00
N-glycan trimming and elongation in the cis-Golgi (R-HSA-964739)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Physiological factors (R-HSA-5578768)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
trans-Golgi Network Vesicle Budding (R-HSA-199992)	72	0	.38	-	 < 0.01	1.00E00	1.00E00
Signaling by NTRK1 (TRKA) (R-HSA-187037)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
POLB-Dependent Long Patch Base Excision Repair (R-HSA-110362)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Presynaptic phase of homologous DNA pairing and strand exchange (R-HSA-5693616)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Ethanol oxidation (R-HSA-71384)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
NOTCH2 intracellular domain regulates transcription (R-HSA-2197563)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
ATF6 (ATF6-alpha) activates chaperone genes (R-HSA-381183)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Alpha-defensins (R-HSA-1462054)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
TET1,2,3 and TDG demethylate DNA (R-HSA-5221030)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Minus-strand DNA synthesis (R-HSA-164516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of NOXA and translocation to mitochondria (R-HSA-111448)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DPAn-6 SPMs (R-HSA-9025106)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Cellular hexose transport (R-HSA-189200)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Activation of BAD and translocation to mitochondria  (R-HSA-111447)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Activation of BIM and translocation to mitochondria  (R-HSA-111446)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Tachykinin receptors bind tachykinins (R-HSA-380095)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Intestinal hexose absorption (R-HSA-8981373)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Telomere Extension By Telomerase (R-HSA-171319)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Displacement of DNA glycosylase by APEX1 (R-HSA-110357)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Miscellaneous substrates (R-HSA-211958)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2 (R-HSA-211957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Processing of DNA double-strand break ends (R-HSA-5693607)	81	0	.42	-	 < 0.01	1.00E00	1.00E00
NGF-independant TRKA activation (R-HSA-187024)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA Double Strand Break Response (R-HSA-5693606)	60	0	.31	-	 < 0.01	1.00E00	1.00E00
SUMOylation of transcription factors (R-HSA-3232118)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Synthesis of dolichyl-phosphate mannose (R-HSA-162699)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
G2 Phase (R-HSA-68911)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
VEGFR2 mediated cell proliferation (R-HSA-5218921)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Activated NTRK3 signals through PLCG1 (R-HSA-9034793)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
VEGFR2 mediated vascular permeability (R-HSA-5218920)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Defective ALG12 causes ALG12-CDG (CDG-1g) (R-HSA-4720489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Transcriptional regulation by small RNAs (R-HSA-5578749)	72	0	.38	-	 < 0.01	1.00E00	1.00E00
Packaging Of Telomere Ends (R-HSA-171306)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Interleukin-3, Interleukin-5 and GM-CSF signaling (R-HSA-512988)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
Activation of TRKA receptors (R-HSA-187015)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Phase I - Functionalization of compounds (R-HSA-211945)	105	0	.55	-	 < 0.01	1.00E00	1.00E00
Defective ABCC6 causes pseudoxanthoma elasticum (PXE) (R-HSA-5690338)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Dectin-2 family (R-HSA-5621480)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Oligomerization of connexins into connexons (R-HSA-190704)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Metabolism of steroids (R-HSA-8957322)	147	0	.77	-	 < 0.01	1.00E00	1.00E00
Negative regulation of TCF-dependent signaling by WNT ligand antagonists (R-HSA-3772470)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodeling of DAG and TAG (R-HSA-1482883)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA Damage Bypass (R-HSA-73893)	49	0	.26	-	 < 0.01	1.00E00	1.00E00
Defective PAPSS2 causes SEMD-PA (R-HSA-3560796)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective ALG3 causes ALG3-CDG (CDG-1d) (R-HSA-4720475)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC26A2 causes chondrodysplasias (R-HSA-3560792)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PP2A-mediated dephosphorylation of key metabolic factors (R-HSA-163767)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Import of palmitoyl-CoA into the mitochondrial matrix (R-HSA-200425)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Cleavage of the damaged purine (R-HSA-110331)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Recognition and association of DNA glycosylase with site containing an affected purine (R-HSA-110330)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Fatty acids (R-HSA-211935)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective Mismatch Repair Associated With PMS2 (R-HSA-5632987)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective DOLK causes DOLK-CDG (CDG-1m) (R-HSA-4755583)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through PLCG1 (R-HSA-9026527)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism (R-HSA-70268)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Death Receptor Signalling (R-HSA-73887)	141	0	.74	-	 < 0.01	1.00E00	1.00E00
Chromosome Maintenance (R-HSA-73886)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
Base Excision Repair (R-HSA-73884)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
CASP8 activity is inhibited (R-HSA-5218900)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Gluconeogenesis (R-HSA-70263)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
2-LTR circle formation (R-HSA-164843)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective B4GALT7 causes EDS, progeroid type (R-HSA-3560783)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
SHC1 events in ERBB4 signaling (R-HSA-1250347)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Diseases associated with glycosaminoglycan metabolism (R-HSA-3560782)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
Cleavage of the damaged pyrimidine  (R-HSA-110329)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Recognition and association of DNA glycosylase with site containing an affected pyrimidine (R-HSA-110328)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of A2E, implicated in retinal degradation (R-HSA-2466712)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PI3K events in ERBB4 signaling (R-HSA-1250342)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives (R-HSA-9027604)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Insulin effects increased synthesis of Xylulose-5-Phosphate (R-HSA-163754)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ (R-HSA-4755579)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of PIPs at the late endosome membrane (R-HSA-1660517)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Defective ABCG5 causes sitosterolemia (R-HSA-5679096)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F) (R-HSA-5663020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of PIPs at the early endosome membrane (R-HSA-1660516)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Chondroitin sulfate biosynthesis (R-HSA-2022870)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Synthesis of PIPs at the Golgi membrane (R-HSA-1660514)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through RAS (R-HSA-9026519)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Translesion Synthesis by POLH (R-HSA-110320)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective ABCG8 causes gallbladder disease 4 and sitosterolemia (R-HSA-5679090)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Translocation of SLC2A4 (GLUT4) to the plasma membrane (R-HSA-1445148)	71	0	.37	-	 < 0.01	1.00E00	1.00E00
RIPK1-mediated regulated necrosis (R-HSA-5213460)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
SMAD4 MH2 Domain Mutants in Cancer (R-HSA-3311021)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Sphingolipid metabolism (R-HSA-428157)	87	0	.46	-	 < 0.01	1.00E00	1.00E00
Defective ALG9 causes ALG9-CDG (CDG-1l) (R-HSA-4720454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Polymerase switching (R-HSA-69091)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (R-HSA-83936)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Recognition of DNA damage by PCNA-containing replication complex (R-HSA-110314)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template (R-HSA-110313)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Translesion synthesis by REV1 (R-HSA-110312)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
alpha-linolenic acid (ALA) metabolism (R-HSA-2046106)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Linoleic acid (LA) metabolism (R-HSA-2046105)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
MGMT-mediated DNA damage reversal (R-HSA-5657655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Pentose phosphate pathway (R-HSA-71336)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Rab regulation of trafficking (R-HSA-9007101)	121	0	.63	-	 < 0.01	1.00E00	1.00E00
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism (R-HSA-2046104)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Vitamins (R-HSA-211916)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective Mismatch Repair Associated With MSH6 (R-HSA-5632968)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Type I hemidesmosome assembly (R-HSA-446107)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi Cisternae Pericentriolar Stack Reorganization (R-HSA-162658)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Association of TriC/CCT with target proteins during biosynthesis (R-HSA-390471)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
Inositol transporters (R-HSA-429593)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Transcription (R-HSA-73864)	80	0	.42	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Transcription Termination (R-HSA-73863)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Vitamin E (R-HSA-8877627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Transcription-Coupled Nucleotide Excision Repair (TC-NER) (R-HSA-6781827)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
FCERI mediated MAPK activation (R-HSA-2871796)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
Keratan sulfate degradation (R-HSA-2022857)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Phase 1 - inactivation of fast Na+ channels (R-HSA-5576894)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Formation of TC-NER Pre-Incision Complex (R-HSA-6781823)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
Phase 0 - rapid depolarisation (R-HSA-5576892)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
Keratan sulfate biosynthesis (R-HSA-2022854)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
GRB2:SOS provides linkage to MAPK signaling for Integrins  (R-HSA-354194)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Activation of ATR in response to replication stress (R-HSA-176187)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
Chaperonin-mediated protein folding (R-HSA-390466)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase II Transcription Termination (R-HSA-73856)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
Signaling by VEGF (R-HSA-194138)	104	0	.54	-	 < 0.01	1.00E00	1.00E00
RNA Polymerase I Promoter Clearance (R-HSA-73854)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
Defective HLCS causes multiple carboxylase deficiency (R-HSA-3371599)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective BTD causes biotidinase deficiency (R-HSA-3371598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR) (R-HSA-5661182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RHO GTPases regulate CFTR trafficking (R-HSA-5627083)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Androgen biosynthesis (R-HSA-193048)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
RIP-mediated NFkB activation via ZBP1 (R-HSA-1810476)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Eukaryotic Translation Termination (R-HSA-72764)	93	0	.49	-	 < 0.01	1.00E00	1.00E00
CREB phosphorylation (R-HSA-199920)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodelling of PE (R-HSA-1482839)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Signalling to ERKs (R-HSA-187687)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Folding of actin by CCT/TriC (R-HSA-390450)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Aryl hydrocarbon receptor signalling (R-HSA-8937144)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
MET activates STAT3 (R-HSA-8875791)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
5-Phosphoribose 1-diphosphate biosynthesis (R-HSA-73843)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Glycogen breakdown (glycogenolysis) (R-HSA-70221)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
tRNA modification in the mitochondrion (R-HSA-6787450)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3) (R-HSA-5688399)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by NOTCH1 HD Domain Mutants (R-HSA-2691232)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH1 HD Domain Mutants in Cancer (R-HSA-2691230)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Influenza Virus Induced Apoptosis (R-HSA-168277)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS) (R-HSA-5688031)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
NS1 Mediated Effects on Host Pathways (R-HSA-168276)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant (R-HSA-2660826)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant (R-HSA-2660825)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Entry of Influenza Virion into Host Cell via Endocytosis (R-HSA-168275)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Export of Viral Ribonucleoproteins from Nucleus (R-HSA-168274)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Kinesins (R-HSA-983189)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
Transport of Ribonucleoproteins into the Host Nucleus (R-HSA-168271)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling (R-HSA-5339717)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Misspliced GSK3beta mutants stabilize beta-catenin (R-HSA-5339716)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
NTRK3 as a dependence receptor (R-HSA-9603505)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
SUMOylation of DNA damage response and repair proteins (R-HSA-3108214)	70	0	.37	-	 < 0.01	1.00E00	1.00E00
Peptide chain elongation (R-HSA-156902)	89	0	.47	-	 < 0.01	1.00E00	1.00E00
Surfactant metabolism (R-HSA-5683826)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Interactions of Rev with host cellular proteins (R-HSA-177243)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Virus Assembly and Release (R-HSA-168268)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Heparan sulfate/heparin (HS-GAG) metabolism (R-HSA-1638091)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
HSF1-dependent transactivation (R-HSA-3371571)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
RSK activation (R-HSA-444257)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression (R-HSA-427389)	45	0	.24	-	 < 0.01	1.00E00	1.00E00
Defective Mismatch Repair Associated With MSH2 (R-HSA-5632928)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective Mismatch Repair Associated With MSH3 (R-HSA-5632927)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Antigen Presentation: Folding, assembly and peptide loading of class I MHC (R-HSA-983170)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Transcription of the HIV genome (R-HSA-167172)	73	0	.38	-	 < 0.01	1.00E00	1.00E00
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors (R-HSA-8864260)	36	0	.19	-	 < 0.01	1.00E00	1.00E00
Attenuation phase (R-HSA-3371568)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Activation of PPARGC1A (PGC-1alpha) by phosphorylation (R-HSA-2151209)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
